"","gvkey","sic2","category"
"25247",128763,87,"Services"
"25248",128764,36,"Manufacturing"
"25249",128765,NA,NA
"25250",128978,26,"Manufacturing"
"25251",129078,NA,NA
"25252",129083,NA,NA
"25253",129085,NA,NA
"25254",129087,NA,NA
"25255",129098,NA,NA
"25256",129118,NA,NA
"25257",129120,36,"Manufacturing"
"25258",129138,NA,NA
"25259",129418,48,"Transportation & Public Utilities"
"25260",129419,NA,NA
"25261",129423,NA,NA
"25262",129438,20,"Manufacturing"
"25263",129439,48,"Transportation & Public Utilities"
"25264",129441,38,"Manufacturing"
"25265",129442,48,"Transportation & Public Utilities"
"25266",129466,28,"Manufacturing"
"25267",129467,36,"Manufacturing"
"25268",129469,48,"Transportation & Public Utilities"
"25269",129470,NA,NA
"25270",129471,NA,NA
"25271",129472,63,"Finance, Insurance, Real Estate"
"25272",129518,59,"Retail Trade"
"25273",129519,NA,NA
"25274",129623,73,"Services"
"25275",129624,NA,NA
"25276",129626,NA,NA
"25277",129628,NA,NA
"25278",129629,NA,NA
"25279",129631,59,"Retail Trade"
"25280",129632,73,"Services"
"25281",129635,NA,NA
"25282",129823,48,"Transportation & Public Utilities"
"25283",129839,NA,NA
"25284",129840,87,"Services"
"25285",129848,NA,NA
"25286",129849,59,"Retail Trade"
"25287",129850,73,"Services"
"25288",129851,73,"Services"
"25289",129882,NA,NA
"25290",129940,NA,NA
"25291",130040,73,"Services"
"25292",130041,28,"Manufacturing"
"25293",130042,13,"Mining"
"25294",130043,NA,NA
"25295",130048,73,"Services"
"25296",130049,73,"Services"
"25297",130138,48,"Transportation & Public Utilities"
"25298",130199,NA,NA
"25299",130200,80,"Services"
"25300",130203,NA,NA
"25301",130278,NA,NA
"25302",130298,51,"Wholesale Trade"
"25303",130299,59,"Retail Trade"
"25304",130303,NA,NA
"25305",130305,73,"Services"
"25306",130307,NA,NA
"25307",130318,NA,NA
"25308",130338,NA,NA
"25309",130380,73,"Services"
"25310",130398,73,"Services"
"25311",130399,48,"Transportation & Public Utilities"
"25312",130400,NA,NA
"25313",130402,10,"Mining"
"25314",130419,59,"Retail Trade"
"25315",130421,NA,NA
"25316",130498,73,"Services"
"25317",130519,89,"Services"
"25318",130520,48,"Transportation & Public Utilities"
"25319",130525,NA,NA
"25320",130598,67,"Finance, Insurance, Real Estate"
"25321",130599,NA,NA
"25322",130618,NA,NA
"25323",130638,20,"Manufacturing"
"25324",130762,36,"Manufacturing"
"25325",130763,NA,NA
"25326",130764,79,"Services"
"25327",130766,48,"Transportation & Public Utilities"
"25328",130767,NA,NA
"25329",131421,NA,NA
"25330",131423,NA,NA
"25331",131425,NA,NA
"25332",131426,NA,NA
"25333",132358,10,"Mining"
"25334",132361,NA,NA
"25335",132366,NA,NA
"25336",132367,NA,NA
"25337",132369,73,"Services"
"25338",132405,73,"Services"
"25339",132406,NA,NA
"25340",132407,36,"Manufacturing"
"25341",132479,NA,NA
"25342",132482,73,"Services"
"25343",132498,NA,NA
"25344",132499,NA,NA
"25345",132502,35,"Manufacturing"
"25346",132503,NA,NA
"25347",132504,NA,NA
"25348",132518,73,"Services"
"25349",132519,73,"Services"
"25350",132523,NA,NA
"25351",132524,73,"Services"
"25352",132525,36,"Manufacturing"
"25353",132526,NA,NA
"25354",132538,47,"Transportation & Public Utilities"
"25355",132539,38,"Manufacturing"
"25356",132558,45,"Transportation & Public Utilities"
"25357",132598,73,"Services"
"25358",132599,87,"Services"
"25359",132600,NA,NA
"25360",132602,73,"Services"
"25361",132605,NA,NA
"25362",132641,NA,NA
"25363",132643,NA,NA
"25364",132644,73,"Services"
"25365",132678,15,"Construction"
"25366",132698,NA,NA
"25367",132700,NA,NA
"25368",132701,65,"Finance, Insurance, Real Estate"
"25369",132702,NA,NA
"25370",132718,73,"Services"
"25371",132738,NA,NA
"25372",132740,36,"Manufacturing"
"25373",132742,48,"Transportation & Public Utilities"
"25374",132758,73,"Services"
"25375",132799,73,"Services"
"25376",132800,47,"Transportation & Public Utilities"
"25377",132802,NA,NA
"25378",132978,73,"Services"
"25379",132980,73,"Services"
"25380",132981,62,"Finance, Insurance, Real Estate"
"25381",132986,36,"Manufacturing"
"25382",132987,48,"Transportation & Public Utilities"
"25383",132988,60,"Finance, Insurance, Real Estate"
"25384",133004,35,"Manufacturing"
"25385",133024,73,"Services"
"25386",133044,73,"Services"
"25387",133045,NA,NA
"25388",133047,35,"Manufacturing"
"25389",133048,60,"Finance, Insurance, Real Estate"
"25390",133049,73,"Services"
"25391",133050,NA,NA
"25392",133104,48,"Transportation & Public Utilities"
"25393",133164,NA,NA
"25394",133166,13,"Mining"
"25395",133169,73,"Services"
"25396",133170,NA,NA
"25397",133184,NA,NA
"25398",133186,73,"Services"
"25399",133204,73,"Services"
"25400",133205,73,"Services"
"25401",133245,NA,NA
"25402",133246,28,"Manufacturing"
"25403",133247,10,"Mining"
"25404",133249,NA,NA
"25405",133264,NA,NA
"25406",133284,NA,NA
"25407",133286,NA,NA
"25408",133288,36,"Manufacturing"
"25409",133289,63,"Finance, Insurance, Real Estate"
"25410",133304,36,"Manufacturing"
"25411",133324,NA,NA
"25412",133325,NA,NA
"25413",133326,NA,NA
"25414",133327,48,"Transportation & Public Utilities"
"25415",133328,28,"Manufacturing"
"25416",133346,36,"Manufacturing"
"25417",133364,73,"Services"
"25418",133365,NA,NA
"25419",133366,38,"Manufacturing"
"25420",133367,36,"Manufacturing"
"25421",133369,72,"Services"
"25422",133404,13,"Mining"
"25423",133424,28,"Manufacturing"
"25424",133425,73,"Services"
"25425",133428,28,"Manufacturing"
"25426",133430,73,"Services"
"25427",133432,73,"Services"
"25428",133444,48,"Transportation & Public Utilities"
"25429",133468,28,"Manufacturing"
"25430",133469,NA,NA
"25431",133471,NA,NA
"25432",133504,38,"Manufacturing"
"25433",133506,NA,NA
"25434",133524,NA,NA
"25435",133525,27,"Manufacturing"
"25436",133547,73,"Services"
"25437",133564,38,"Manufacturing"
"25438",133584,39,"Manufacturing"
"25439",133604,NA,NA
"25440",133644,60,"Finance, Insurance, Real Estate"
"25441",133665,17,"Construction"
"25442",133685,NA,NA
"25443",133724,NA,NA
"25444",133726,28,"Manufacturing"
"25445",133727,NA,NA
"25446",133728,73,"Services"
"25447",133729,NA,NA
"25448",133730,73,"Services"
"25449",133731,NA,NA
"25450",133732,NA,NA
"25451",133764,60,"Finance, Insurance, Real Estate"
"25452",133766,73,"Services"
"25453",133767,54,"Retail Trade"
"25454",133768,63,"Finance, Insurance, Real Estate"
"25455",133769,73,"Services"
"25456",133784,59,"Retail Trade"
"25457",133786,73,"Services"
"25458",133804,73,"Services"
